block,plot,notes,rain_trt,graze_trt,crude_protein,digestible_energy,relative_feed_value
1,1,,C,C,7.62,1.26,102
1,2,,W,C,7.4,1.39,138
1,4,,C,C,8.95,1.32,148
1,3,pooled sample from plots 1-3 and 1-7 (combined due to insufficient biomass),D,C,9.17,1.22,120
1,5,,W,C,8.01,1.29,177
1,6,,D,C,8.06,1.35,161
1,7,,D,C,NA,NA,NA
1,8,,C,C,7.79,1.27,136
1,9,,W,C,7.04,1.16,95
1,10,,W,C,7.54,1.26,94.4
1,11,,D,C,8.47,1.2,108
1,12,,C,C,8.98,1.21,88.9
2,1,,D,DS,8.49,1.25,111
2,2,,C,DS,8.68,1.27,114
2,3,,W,DS,8.89,1.16,118
2,4,,C,DS,9.43,1.18,111
2,5,,C,DS,6.38,1.21,98.5
2,6,,W,DS,7.63,1.2,106
2,7,,D,DS,7.56,1.23,106
2,8,,D,DS,6.98,1.14,90.6
2,9,,W,DS,8.14,1.1,82.5
2,10,,D,DS,7.42,1.26,88.6
2,11,,W,DS,7.49,1.23,96.1
2,12,,C,DS,11.12,1.27,115
3,1,,W,GS,7.99,1.21,91.4
3,2,pooled sample from plots 3-2 and 3-3 (combined due to insufficient biomass),C,GS,7.88,1.21,90.1
3,3,,C,GS,NA,NA,NA
3,4,,D,GS,NA,NA,NA
3,5,,W,GS,10.06,1.29,111
3,6,,D,GS,8.53,1.14,92
3,7,pooled sample from plots 3-4 and 3-7 (combined due to insufficient biomass),D,GS,8.84,1.28,104
3,8,,C,GS,7.36,1.23,106
3,9,,W,GS,8.12,1.24,121
3,10,,C,GS,7.68,1.17,112
3,11,,W,GS,8.1,1.19,101
3,12,,D,GS,9.78,1.18,102
4,1,,C,DS,8.3,1.23,124
4,2,,W,DS,6.78,1.29,126
4,3,,C,DS,7.76,1.27,122
4,4,,D,DS,7.63,1.17,82.7
4,5,,D,DS,5.64,1.32,105
4,6,,W,DS,8.13,1.17,77.5
4,7,,D,DS,7.71,1.21,119
4,8,,W,DS,8.71,1.31,128
4,9,,W,DS,8.24,1.19,127
4,10,,C,DS,7.65,1.28,87.3
4,11,,D,DS,8.75,1.26,85.8
4,12,,C,DS,9.74,1.25,149
5,1,,C,GS,NA,NA,NA
5,2,,W,GS,9.37,1.22,92.3
5,3,pooled sample from plots 5-3 and 5-7 (combined due to insufficient biomass),D,GS,7.88,1.15,85.9
5,4,,W,GS,6.83,1.21,99.3
5,5,pooled sample from plots 5-1 and 5-5 (combined due to insufficient biomass),C,GS,7.44,1.17,79.9
5,6,,C,GS,5.11,1.23,85.4
5,7,,D,GS,NA,NA,NA
5,8,,W,GS,8.33,1.17,92.4
5,9,,D,GS,6.33,1.28,78
5,10,,C,GS,6.73,1.24,77.2
5,11,,D,GS,5.89,1.24,88
5,12,,W,GS,7.25,1.25,105
6,1,,D,C,5.32,1.24,102
6,2,,W,C,7.13,1.24,116
6,3,,D,C,7.67,1.3,140
6,4,,W,C,6.47,1.16,92.1
6,5,,C,C,6.02,1.24,82.9
6,6,,W,C,7.82,1.24,97.9
6,7,,D,C,5.95,1.31,102
6,8,,C,C,7.55,1.26,112
6,9,,C,C,6.48,1.22,84.7
6,10,,D,C,6.91,1.29,90.6
6,11,,W,C,7.48,1.26,107
6,12,,C,C,5.59,1.23,100
