thresh_type,thresh,block,plot,year,max_gi,max_gi_doy,greenup_doy,senesc_doy,gs_length,gs_integral
global,gi3405,1,1,2020,0.347916708,175.9673768,118.0379662,275.4316029,157.3936367,38.90636284
global,gi3405,1,2,2020,0.353750219,177.3383173,108.6205264,296.1659284,187.545402,52.24078772
global,gi3405,1,3,2020,0.342950187,163.6044923,124.1975067,198.5811241,74.38361742,28.07972029
global,gi3405,1,4,2020,0.34471279,165.887696,121.6193561,221.4348082,99.81545219,32.15091253
global,gi3405,1,5,2020,0.354170208,175.0958965,111.1054222,281.9585514,170.8531293,50.09187396
global,gi3405,1,6,2020,0.342444436,166.8118908,133.4426709,223.0347648,89.59209388,29.43929831
global,gi3405,1,7,2020,0.343446543,171.910903,120.9037538,211.9674827,91.06372889,30.67464205
global,gi3405,1,8,2020,0.350509215,166.5046668,112.6881238,227.2503396,114.5622157,38.55305969
global,gi3405,1,9,2020,0.346286004,178.574862,124.7586303,282.3844791,157.6258489,37.60700165
global,gi3405,1,10,2020,0.345862674,175.2664444,121.3232415,251.487486,130.1642445,35.35766252
global,gi3405,1,11,2020,0.341333516,147.9421292,112.4402244,178.1566759,65.71645154,29.15332304
global,gi3405,1,12,2020,0.346928155,167.7055094,118.4450989,216.0315433,97.58644442,36.42942113
global,gi3405,2,1,2020,0.34156939,169.2883318,140.8560983,200.9783631,60.12226481,23.38661086
global,gi3405,2,2,2020,0.346379041,175.3767246,118.0643362,262.5717884,144.5074522,37.9449951
global,gi3405,2,3,2020,0.354329305,175.1606956,107.452404,277.1030045,169.6506006,51.93603472
global,gi3405,2,4,2020,0.342595384,199.5971987,153.5458083,270.5997397,117.0539314,30.17028579
global,gi3405,2,5,2020,0.349631737,176.2443578,117.2828349,288.5566741,171.2738392,43.74284749
global,gi3405,2,6,2020,0.351151621,175.774031,115.4535295,294.2989074,178.8453779,47.61996685
global,gi3405,2,7,2020,0.341245167,172.2415918,145.3661615,195.2401416,49.87398011,25.47528272
global,gi3405,2,8,2020,0.345288248,175.2492317,126.9163488,222.0877361,95.1713873,31.39851612
global,gi3405,2,9,2020,0.35465692,182.6266891,114.3769232,263.7157294,149.3388062,49.68731384
global,gi3405,2,10,2020,0.339777848,195.0624619,NA,NA,NA,23.39318051
global,gi3405,2,11,2020,0.358533628,167.5793594,108.6588737,224.5269676,115.8680939,47.54037119
global,gi3405,2,12,2020,0.349861873,175.8504049,113.6629881,271.505082,157.8420938,42.00203201
global,gi3405,3,1,2020,0.348264085,162.3872729,107.5226807,275.8520923,168.3294116,39.8631687
global,gi3405,3,2,2020,0.344875379,163.9594986,121.4280634,198.7557661,77.32770272,30.15783771
global,gi3405,3,3,2020,0.348955719,163.3734951,109.0703291,266.3435041,157.2731751,40.49780529
global,gi3405,3,4,2020,0.34016328,219.893048,NA,NA,NA,25.71894617
global,gi3405,3,5,2020,0.350715895,163.3977905,110.8816496,253.4846395,142.6029899,40.61987539
global,gi3405,3,6,2020,0.341346349,219.9255419,202.3248521,245.362728,43.03787584,27.39960761
global,gi3405,3,7,2020,0.342146992,162.3322141,123.089947,198.7681554,75.67820843,29.5453814
global,gi3405,3,8,2020,0.344502116,164.8201688,117.7301015,240.4517985,122.721697,32.52926024
global,gi3405,3,9,2020,0.345628647,164.9749907,116.5489132,273.2741661,156.7252529,37.00385285
global,gi3405,3,10,2020,0.343746628,165.1797678,122.9258426,231.1397863,108.2139437,31.27443902
global,gi3405,3,11,2020,0.344620789,166.7734541,121.6223441,224.0274972,102.4051531,30.81299774
global,gi3405,3,12,2020,0.341342539,175.4757168,147.8065225,197.8596283,50.05310584,26.77758317
global,gi3405,4,1,2020,0.347531577,172.6442198,121.1992046,223.3552235,102.1560189,34.10478461
global,gi3405,4,2,2020,0.353902386,176.6699364,116.5716765,281.8496058,165.2779293,51.72316397
global,gi3405,4,3,2020,0.350783504,173.8001538,113.5490743,245.9140361,132.3649618,41.80588196
global,gi3405,4,4,2020,0.345479935,176.0293338,123.3260471,218.8976243,95.57157715,34.88704552
global,gi3405,4,5,2020,0.344866261,175.9137236,120.8285234,234.7412661,113.9127427,33.12355171
