block,plot,year,rain_trt,graze_trt,species_code,genus,species,origin,graminoidrowth_forborm,life_history,photo_path,fun_grp,area,x,y,area_clipped,richness_only
1,1,2018,C,UG,af,artemisia,frigida,native,shrub,perennial,C3,S,1.401034682,9.849317841,58.19490264,1.401034682,
1,1,2018,C,UG,apo,aster,porteri,native,forb,perennial,C3,F,58.58984274,9.269076081,68.0143506,58.58984274,
1,1,2018,C,UG,aps,ambrosia,psilostachya,native,forb,perennial,C3,F,1.659325806,14.88897055,51.15690739,1.659325806,
1,1,2018,C,UG,aps,ambrosia,psilostachya,native,forb,perennial,C3,F,9.286575972,42.99925502,36.73176286,9.286575972,
1,1,2018,C,UG,apu,aristida,purpurea,native,graminoid,perennial,C4,G_C4,25.87444567,25.81458629,78.7195672,25.87444567,
1,1,2018,C,UG,asclepias_sp,asclepias,spp,native,forb,perennial,C3,F,9.071152498,30.31240971,81.00850974,9.071152498,
1,1,2018,C,UG,bj,bromus,japonicus,exotic,graminoid,annual-biennial,C3,Ann_Bi,0.01,,,,Y
1,1,2018,C,UG,cow,NA,NA,NA,NA,NA,NA,NA_NA_NA,50.37250607,10.94234714,30.62728746,50.37250607,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,1.154734754,1.601291548,96.37436577,1.154734754,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,3.39820114,1.459657216,99.03857242,2.838392238,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,6.137986781,3.813294615,99.73428316,3.825449029,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,36.43642887,8.452845153,97.19657738,34.64893873,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,56.21133427,1.952056529,52.74973677,56.21133427,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,13.07353799,10.96941192,61.39647385,13.07353799,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,1.747772943,5.433155384,52.59185301,1.747772943,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,10.43075193,5.427109528,40.31063096,10.43075193,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,18.51177855,10.47935517,37.59656429,18.51177855,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,29.95016301,9.349708025,6.482249355,29.95016301,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,0.877405925,8.437802254,13.68383962,0.877405925,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,8.113143435,1.43639476,7.527473096,8.104328882,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,2.320469979,14.19195782,92.99096651,2.320469979,
