block,plot,year,rain_trt,graze_trt,species_code,genus,species,origin,growth_form,life_history,photo_path,fun_grp,area_clipped,richness_only
1,1,2018,C,UG,af,artemisia,frigida,native,shrub,perennial,C3,S,1.401034682,
1,1,2018,C,UG,apo,aster,porteri,native,forb,perennial,C3,F,58.58984274,
1,1,2018,C,UG,aps,ambrosia,psilostachya,native,forb,perennial,C3,F,1.659325806,
1,1,2018,C,UG,aps,ambrosia,psilostachya,native,forb,perennial,C3,F,9.286575972,
1,1,2018,C,UG,apu,aristida,purpurea,native,graminoid,perennial,C4,G_C4,25.87444567,
1,1,2018,C,UG,asclepias_sp,asclepias,spp,native,forb,perennial,C3,F,9.071152498,
1,1,2018,C,UG,bj,bromus,japonicus,exotic,graminoid,annual-biennial,C3,Ann_Bi,,Y
1,1,2018,C,UG,cow,NA,NA,NA,NA,NA,NA,NA_NA_NA,50.37250607,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,1.154734754,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,2.838392238,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,3.825449029,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,34.64893873,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,56.21133427,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,13.07353799,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,1.747772943,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,10.43075193,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,18.51177855,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,29.95016301,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,0.877405925,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,8.104328882,
