year,block,plot,biomass_samping_date,exterior,rain_trt,graze_trt,sampling_notes,biomass_g,bare_visual_cov
2018,1,1,8/10/2018,N,C,C,not yet grazed (control),4.92,26
2018,1,2,8/10/2018,N,W,C,not yet grazed (control),8.7,20
2018,1,3,8/10/2018,N,D,C,not yet grazed (control),4.16,50
2018,1,4,8/10/2018,N,C,C,not yet grazed (control),4.24,40
2018,1,5,8/10/2018,N,W,C,not yet grazed (control),4.74,
2018,1,6,8/10/2018,N,D,C,not yet grazed (control),4.25,
2018,1,7,8/10/2018,N,D,C,not yet grazed (control),3.66,41
2018,1,8,8/10/2018,N,C,C,not yet grazed (control),3.16,22
2018,1,9,8/10/2018,N,W,C,not yet grazed (control),5.51,34
2018,1,10,8/10/2018,N,W,C,not yet grazed (control),3.37,20
2018,1,11,8/10/2018,N,D,C,not yet grazed (control),7.53,36
2018,1,12,8/10/2018,N,C,C,not yet grazed (control),2.35,
2018,2,1,8/10/2018,N,D,DS,not yet grazed (control),6.57,
2018,2,2,8/10/2018,N,C,DS,not yet grazed (control),7.31,32
2018,2,3,8/10/2018,N,W,DS,not yet grazed (control),6.71,34
2018,2,4,8/10/2018,N,C,DS,not yet grazed (control),11.33,38
2018,2,5,8/10/2018,N,C,DS,not yet grazed (control),10.72,34
2018,2,6,8/10/2018,N,W,DS,not yet grazed (control),7.78,35
2018,2,7,8/10/2018,N,D,DS,not yet grazed (control),7.81,24
2018,2,8,8/10/2018,N,D,DS,not yet grazed (control),5.18,52
2018,2,9,8/10/2018,N,W,DS,not yet grazed (control),8.05,40
2018,2,10,8/10/2018,N,D,DS,not yet grazed (control),5.6,34
2018,2,11,8/10/2018,N,W,DS,not yet grazed (control),5.3,22
2018,2,12,8/10/2018,N,C,DS,not yet grazed (control),11.2,12
2018,3,1,8/10/2018,N,W,GS,not yet grazed (control),8.57,
2018,3,2,8/10/2018,N,C,GS,not yet grazed (control),5.8,24
2018,3,3,8/10/2018,N,C,GS,not yet grazed (control),8.7,14
2018,3,4,8/10/2018,N,D,GS,not yet grazed (control),7.04,
2018,3,5,8/10/2018,N,W,GS,not yet grazed (control),8.67,28
2018,3,6,8/10/2018,N,D,GS,not yet grazed (control),3.11,32
2018,3,7,8/10/2018,N,D,GS,not yet grazed (control),5.04,36
2018,3,8,8/10/2018,N,C,GS,not yet grazed (control),5.66,18
2018,3,9,8/10/2018,N,W,GS,not yet grazed (control),8.5,24
2018,3,10,8/10/2018,N,C,GS,not yet grazed (control),5.39,36
2018,3,11,8/10/2018,N,W,GS,not yet grazed (control),8.93,28
2018,3,12,8/10/2018,N,D,GS,not yet grazed (control),6.52,34
2018,4,1,8/10/2018,N,C,DS,not yet grazed (control),10.71,36
2018,4,2,8/10/2018,N,W,DS,not yet grazed (control),9.47,32
2018,4,3,8/10/2018,N,C,DS,not yet grazed (control),8.92,15
2018,4,4,8/10/2018,N,D,DS,not yet grazed (control),7.08,35
2018,4,5,8/10/2018,N,D,DS,not yet grazed (control),4.06,28
2018,4,6,8/10/2018,N,W,DS,not yet grazed (control),2.77,
2018,4,7,8/10/2018,N,D,DS,not yet grazed (control),12.89,36
2018,4,8,8/10/2018,N,W,DS,not yet grazed (control),10.11,18
2018,4,9,8/10/2018,N,W,DS,not yet grazed (control),7.73,26
2018,4,10,8/10/2018,N,C,DS,not yet grazed (control),12.89,16
2018,4,11,8/10/2018,N,D,DS,not yet grazed (control),4.48,
2018,4,12,8/10/2018,N,C,DS,not yet grazed (control),9.11,34
2018,5,1,8/10/2018,N,C,GS,not yet grazed (control),5.93,44
2018,5,2,8/10/2018,N,W,GS,not yet grazed (control),9.38,
2018,5,3,8/10/2018,N,D,GS,not yet grazed (control),6.14,32
2018,5,4,8/10/2018,N,W,GS,not yet grazed (control),10.87,22
2018,5,5,8/10/2018,N,C,GS,not yet grazed (control),6.2,6
2018,5,6,8/10/2018,N,C,GS,not yet grazed (control),16.91,
2018,5,7,8/10/2018,N,D,GS,not yet grazed (control),11.35,18
2018,5,8,8/10/2018,N,W,GS,not yet grazed (control),11.37,10
2018,5,9,8/10/2018,N,D,GS,not yet grazed (control),10.78,
2018,5,10,8/10/2018,N,C,GS,not yet grazed (control),8.28,16
2018,5,11,8/10/2018,N,D,GS,not yet grazed (control),6.27,34
2018,5,12,8/10/2018,N,W,GS,not yet grazed (control),6.15,16
2018,6,1,8/10/2018,N,D,C,not yet grazed (control),12.25,26
2018,6,2,8/10/2018,N,W,C,not yet grazed (control),8.25,18
2018,6,3,8/10/2018,N,D,C,not yet grazed (control),7.17,
2018,6,4,8/10/2018,N,W,C,not yet grazed (control),9.64,14
2018,6,5,8/10/2018,N,C,C,not yet grazed (control),7.04,
2018,6,6,8/10/2018,N,W,C,not yet grazed (control),6.38,20
2018,6,7,8/10/2018,N,D,C,not yet grazed (control),10.41,34
2018,6,8,8/10/2018,N,C,C,not yet grazed (control),11.05,34
2018,6,9,8/10/2018,N,C,C,not yet grazed (control),9.28,30
2018,6,10,8/10/2018,N,D,C,not yet grazed (control),5.91,28
2018,6,11,8/10/2018,N,W,C,not yet grazed (control),6.37,
2018,6,12,8/10/2018,N,C,C,not yet grazed (control),7.33,16
2019,1,1,8/13/2019,N,C,C,,13.42,33
2019,1,2,8/13/2019,N,W,C,,10.03,22
2019,1,3,8/13/2019,N,D,C,,4.54,68
2019,1,4,8/13/2019,N,C,C,,5.42,35
2019,1,5,8/13/2019,N,W,C,,5.65,10
2019,1,6,8/13/2019,N,D,C,,4.53,50
2019,1,7,8/13/2019,N,D,C,,6.15,42
2019,1,8,8/13/2019,N,C,C,,7.69,26
2019,1,9,8/13/2019,N,W,C,,7.68,40
2019,1,10,8/13/2019,N,W,C,,11.2,18
2019,1,11,8/13/2019,N,D,C,,6.77,36
2019,1,12,8/13/2019,N,C,C,,9.62,38
2019,2,1,8/13/2019,N,D,DS,,1.71,30
2019,2,2,8/13/2019,N,C,DS,,15.87,22
2019,2,3,8/13/2019,N,W,DS,,17.4,30
2019,2,4,8/13/2019,N,C,DS,,8.96,35
2019,2,5,8/13/2019,N,C,DS,,7.26,30
2019,2,6,8/13/2019,N,W,DS,,6.18,36
2019,2,7,8/13/2019,N,D,DS,,2.95,24
2019,2,8,8/13/2019,N,D,DS,,6.56,64
2019,2,9,8/13/2019,N,W,DS,,11.93,34
2019,2,10,8/13/2019,N,D,DS,,1.85,50
2019,2,11,8/13/2019,N,W,DS,,8.16,28
2019,2,12,8/13/2019,N,C,DS,,4.28,28
2019,3,1,8/12/2019,N,W,GS,,8.29,30
2019,3,2,8/12/2019,N,C,GS,,7.53,20
2019,3,3,8/12/2019,N,C,GS,,12.6,18
2019,3,4,8/12/2019,N,D,GS,,4.53,46
2019,3,5,8/12/2019,N,W,GS,,10.87,18
2019,3,6,8/12/2019,N,D,GS,,7.43,36
2019,3,7,8/12/2019,N,D,GS,,8.36,38
2019,3,8,8/12/2019,N,C,GS,,10.75,20
2019,3,9,8/12/2019,N,W,GS,,11.06,20
2019,3,10,8/12/2019,N,C,GS,,10.88,36
2019,3,11,8/12/2019,N,W,GS,,10.79,19
2019,3,12,8/12/2019,N,D,GS,,7.31,30
2019,4,1,8/12/2019,N,C,DS,,11.08,36
2019,4,2,8/12/2019,N,W,DS,,12.08,22
2019,4,3,8/12/2019,N,C,DS,,11.2,18
2019,4,4,8/12/2019,N,D,DS,,8.62,44
2019,4,5,8/12/2019,N,D,DS,,15.33,26
2019,4,6,8/12/2019,N,W,DS,,5.95,24
2019,4,7,8/12/2019,N,D,DS,,6.49,36
2019,4,8,8/12/2019,N,W,DS,,13.88,18
2019,4,9,8/12/2019,N,W,DS,,8.21,26
2019,4,10,8/12/2019,N,C,DS,,11.47,26
2019,4,11,8/12/2019,N,D,DS,,7.09,28
2019,4,12,8/12/2019,N,C,DS,,10.89,36
2019,5,1,8/13/2019,N,C,GS,,6.41,35
2019,5,2,8/13/2019,N,W,GS,,7.75,22
2019,5,3,8/13/2019,N,D,GS,,3.4,38
2019,5,4,8/13/2019,N,W,GS,,9.51,18
2019,5,5,8/13/2019,N,C,GS,,8.87,9
2019,5,6,8/13/2019,N,C,GS,,7.23,12
2019,5,7,8/13/2019,N,D,GS,,2.18,20
2019,5,8,,N,W,GS,,6.06,6
2019,5,9,8/13/2019,N,D,GS,,8.85,29
2019,5,10,8/13/2019,N,C,GS,,11.27,9
2019,5,11,8/13/2019,N,D,GS,,3.46,30
2019,5,12,,N,W,GS,,6.5,13
2019,6,1,8/14/2019,N,D,C,,8.92,24
2019,6,2,8/14/2019,N,W,C,,19.51,18
2019,6,3,8/14/2019,N,D,C,,3.33,26
2019,6,4,8/14/2019,N,W,C,,23.39,8
2019,6,5,8/14/2019,N,C,C,,16.81,10
2019,6,6,8/14/2019,N,W,C,,14.87,12
2019,6,7,8/14/2019,N,D,C,,7.22,29
2019,6,8,8/14/2019,N,C,C,,6.1,32
2019,6,9,8/14/2019,N,C,C,,10.48,24
2019,6,10,8/14/2019,N,D,C,,9.86,30
2019,6,11,8/14/2019,N,W,C,,25.04,30
2019,6,12,8/14/2019,N,C,C,,9.7,16
2020,1,1,8/10/2020,N,C,C,,3.71,30
2020,1,2,8/10/2020,N,W,C,,8.72,22
2020,1,3,8/10/2020,N,D,C,,3.67,54
2020,1,4,8/10/2020,N,C,C,,11.66,28
2020,1,5,8/10/2020,N,W,C,,7.61,51
2020,1,6,8/10/2020,N,D,C,,10.78,59
2020,1,7,8/10/2020,N,D,C,,2.55,40
2020,1,8,8/10/2020,N,C,C,,7.77,19
2020,1,9,8/10/2020,N,W,C,,7.74,42
2020,1,10,8/10/2020,N,W,C,,11.96,12
2020,1,11,8/10/2020,N,D,C,,5.92,32
2020,1,12,8/10/2020,N,C,C,,2.97,39
2020,2,1,8/10/2020,N,D,DS,,5.53,36
2020,2,2,8/10/2020,N,C,DS,,4.04,26
2020,2,3,8/10/2020,N,W,DS,,3.76,22
2020,2,4,8/10/2020,N,C,DS,,6.55,52
2020,2,5,8/10/2020,N,C,DS,,8.07,32
2020,2,6,8/10/2020,N,W,DS,,12.27,36
2020,2,7,8/10/2020,N,D,DS,,4.37,22
2020,2,8,8/10/2020,N,D,DS,,5.77,62
2020,2,9,8/10/2020,N,W,DS,,6.25,30
2020,2,10,8/10/2020,N,D,DS,,4.45,64
2020,2,11,8/10/2020,N,W,DS,,4.09,22
2020,2,12,8/10/2020,N,C,DS,,7.21,36
2020,3,1,8/10/2020,N,W,GS,,3.38,24
2020,3,2,8/10/2020,N,C,GS,,3.01,19
2020,3,3,8/10/2020,N,C,GS,,2.63,12
2020,3,4,8/10/2020,N,D,GS,,1.15,70
2020,3,5,8/10/2020,N,W,GS,,3.87,25
2020,3,6,8/10/2020,N,D,GS,,4.22,36
2020,3,7,8/12/2020,N,D,GS,,2.54,36
2020,3,8,8/12/2020,N,C,GS,,4.75,16
2020,3,9,8/12/2020,N,W,GS,,5.55,19
2020,3,10,8/12/2020,N,C,GS,,4.99,37
2020,3,11,8/12/2020,N,W,GS,,2.92,16
2020,3,12,8/12/2020,N,D,GS,,3.8,40
2020,4,1,8/12/2020,N,C,DS,,8.37,48
2020,4,2,8/12/2020,N,W,DS,,9.02,23
2020,4,3,8/12/2020,N,C,DS,,8.11,18
2020,4,4,8/12/2020,N,D,DS,,4.71,46
2020,4,5,8/12/2020,N,D,DS,,6.15,24
2020,4,6,8/12/2020,N,W,DS,,6.42,25
2020,4,7,8/12/2020,N,D,DS,,7.74,40
2020,4,8,8/12/2020,N,W,DS,,7.44,
2020,4,9,8/12/2020,N,W,DS,,7.54,30
2020,4,10,8/12/2020,N,C,DS,,4.19,18
2020,4,11,8/12/2020,N,D,DS,,5.69,18
2020,4,12,8/12/2020,N,C,DS,,10.17,42
2020,5,1,8/12/2020,N,C,GS,,2.42,30
2020,5,2,8/12/2020,N,W,GS,,7.33,12
