File_Name,Variable,Variable_Type,Units,Description
Site_Climate&Treatment_Info_2018-20.csv,year,integer,NA,"year of study (2018, 2019, 2020)"
Site_Climate&Treatment_Info_2018-20.csv,date,date,NA,date of the record in format m/d/yyyy
Site_Climate&Treatment_Info_2018-20.csv,julian_day,integer,NA,day of the year from 1 (1 January) to 365 (31 December)
Site_Climate&Treatment_Info_2018-20.csv,min_temp_2m,numeric,degrees C,daily minimum temperatures 2m above soil surface 
Site_Climate&Treatment_Info_2018-20.csv,max_temp_2m,numeric,degrees C,daily maximum temperatures 2m above soil surface 
Site_Climate&Treatment_Info_2018-20.csv,avg_temp_2m,numeric,degrees C,daily average temperatures 2m above soil surface 
Site_Climate&Treatment_Info_2018-20.csv,precip_mm,numeric,mm,"daily total precipitation (yearly, from Jan 1) in mm"
Site_Climate&Treatment_Info_2018-20.csv,cum_precip_mm,numeric,mm,"cumulative precipitation (yearly, from Jan 1) in mm"
Site_Climate&Treatment_Info_2018-20.csv,cum_precip_dry_mm,numeric,mm,"estimated cumulative precipitation in the dry rainfall treatment, assuming  exclusion of 66% of rainfall totals when shelters were deployed on 'dry' plots (i.e. shelter _status=1)"
Site_Climate&Treatment_Info_2018-20.csv,cum_precip_wet_mm,numeric,mm,"estimated cumulative precipitation in the wet rainfall treatment, assuming addition of 66% of rainfall totals when water addition events occurred (i.e. water_add_event = 1)                    "
Site_Climate&Treatment_Info_2018-20.csv,shelter_status,integer,NA,"1 if rainfall shelters were on for a given day (row), 0 if shelters were not on"
Site_Climate&Treatment_Info_2018-20.csv,spring_graze,integer,NA,"1 if growing season treatment was being implemented on a given day (no shelters on), otherwise 0"
Site_Climate&Treatment_Info_2018-20.csv,fall_graze,integer,NA,"1 if dormant season treatment was being implemented on a given day (no shelters on), otherwise 0"
Site_Climate&Treatment_Info_2018-20.csv,water_add_event,integer,NA,"1 if water was added to water surplus level of rainfall treatment (i.e. 'wet') on a given day, otherwise 0"
Site_Climate&Treatment_Info_2018-20.csv,water_add_precip_tot_mm,numeric,mm,"the size of the rainfall event (mm, from NWTC data) that was captured by shelters"
Site_Climate&Treatment_Info_2018-20.csv,soil_vwc_measured,integer,NA,"1 if soil volumetric water content was measured on a given day, otherwise 0"
Site_Climate&Treatment_Info_2018-20.csv,cum_precip_over_years_ambient,numeric,mm,"cumulative ambient precipitation over 3 years, from 1 January 2018 to 31 December 2021"
